prioridad,id,sku,titulo,categoria,marca,precio,unidades_12m,capacidad,ram,conector,longitud,potencia,pulgadas,gama,condicion,bateria,imei,replica
149,6950,"CAR-NETM-NETMAK-2","Cargador NETMAK NMCP5 25w tipo C sin cable","Cargadores de pared","Netmak",12000,1,"","","Tipo C","","25W","","","","","",""
150,6964,"AUR-BAOF-BF777S","Walkie Tokie BAOFENG BF777S","Auriculares inalámbricos","Baofeng",75000,1,"","","","","","","","","","",""
151,6895,"CAM-EZVZ-CAMARA","Camara de seguridad EZVIZ H8C Domo HD vision nocturna 30m","Cámaras de seguridad","EZVIZ",109000,1,"","","","","","","","","","",""
152,7537,"","Parlantes 6x9 Smart Tech 800w ts 6972","Accesorios Vehículo","",89000,1,"","","","","800W","","","","","",""
153,6793,"","Proyector NETMAK NMPR300 Android 14 - 150""","Proyectores","Kelyx",109000,1,"","","","","","150\""","","","","",""
154,7515,"CLI-ORYX-CALOVE-1","Caloventor Oryx 2000w","Climatización","Oryx",35000,1,"","","","","2000W","","","","","",""
155,6797,"SMW-KIES-RELOJ","Reloj Smartwatch KIESLECT Kr Pro","Smartwatch","Kieslect",85000,1,"","","","","","","","","","",""
156,6608,"PAR-GEN-BLUETO","Parlante Bluetooth 6.5 x2 6603","Parlantes profesionales","",65000,1,"","","","","","","","","","",""
157,6984,"541-42","Funda premium 2","Vidrios templados e hidrogel","",11000,1,"","","","","","","Premium","","","",""
158,6298,"205","Auricular manos libres Fox Box TEMPO","Auriculares inalámbricos","FoxBox",59000,1,"","","","","","","","","","",""
159,6661,"CAB-APPLE-IPHONE","Cable iPhone USB C a USB C Original 60w","Cables de carga","Apple",39000,1,"","","","","60W","","Original","","","",""
160,7317,"","Camara de seguridad TAPO C510 Exterior movimiento remoto","Cámaras de seguridad","",98000,1,"","","","","","","","","","",""
161,6513,"587","Nano glass","Vidrios templados e hidrogel","",5000,1,"","","","","","","","","","",""
162,7801,"","Parlante MALIBU MS3627 4''","Sin categorizar","",78000,1,"","","","","","4\""","","","","",""
163,6784,"PAR-KBRD-KTS1861","Parlante Kbroad 2 x 6.5'' c/microfono KTS1861","Parlantes profesionales","Kbroad",55000,1,"","","","","","6.5\""","","","","",""
164,7115,"","Silla de oficina NOGANET","Periféricos","",98000,1,"","","","","","","","","","",""
165,7345,"","Parlantes redondos 5'' 200w  Mundo JW","Parlantes profesionales","",48000,1,"","","","","200W","5\""","","","","",""
166,7811,"","Reloj Smartwatch Bulltec DUO Watch","Sin categorizar","",69000,1,"","","","","","","","","","",""
167,6614,"RTR-TPL-C24","Router TP-Link Archer C24 AC750","Routers y WiFi","TP-Link",49500,1,"","","","","","","","","","",""
168,6521,"768","Cable Fox Box 60W Loop","Cables de carga","FoxBox",16000,1,"","","","","60W","","","","","",""
169,6836,"CAB-KOLKE-TIPO","Cable usb tipo C a C KOLKE  trenzado magnético","Cables de carga","Kolke",15000,1,"","","Tipo C","","","","","","","",""
170,7237,"","Cable Philips tipo C","Cables de carga","",15000,1,"","","Tipo C","","","","","","","",""
171,6923,"TAB-APPLE-APPLE","Apple Pencil 2da gen AAA","Tablets","Apple",65000,1,"","","","","","","AAA","","","",""
172,6317,"241","Router Tenda N300","Routers y WiFi","",39000,1,"","","","","","","","","","",""
173,6862,"CAB-KOLKE-C8708","Cable KOLKE tipo C a tipo C KCC8708","Cables de carga","Kolke",9000,1,"","","Tipo C","","","","","","","",""
174,6551,"1048","Cable usb a Lightning 2m","Cables de carga","",8000,1,"","","Lightning | USB A","2m","","","","","","",""
175,6957,"CAB-GEN-LIGHTN-2","Cable 4 en 1 USB C USB lightning","Cables de carga","",7000,1,"","","Lightning","","","","","","","",""
176,7235,"","Cable micro usb NOGANET 2m","Cables de carga","",7000,1,"","","Micro USB","2m","","","","","","",""
