"prioridad","id","sku","titulo","categoria","marca","precio","stock","estado_stock","unidades_12m","facturado_12m","tiene_foto","tiene_descripcion"
"111","6555","SBD-GEN-MALLA-2","Malla mi band 7 NEGRA","Smart Bands","","6500","1","instock","2","13000","NO","SI"
"112","7162","","iPhone 16 Pro Max 256gb 89% (74420)","Smartphones usados","Apple","910","1","instock","2","1450","NO","NO"
"113","7121","","iPhone 16 128gb 90% (12663)","Smartphones usados","Apple","680","0","outofstock","2","1460","NO","NO"
"114","7279","","iphone 15 Pro 256gb 86% (14529)","Smartphones usados","","650","1","instock","2","1040","NO","NO"
"115","7281","","iPhone 13 Pro Max 128gb 93% (3782)","Smartphones usados","","510","0","outofstock","2","855","NO","NO"
"116","7163","","iPhone 12 Pro Max 128gb 98% (5735)","Smartphones usados","Apple","330","1","instock","2","930","NO","NO"
"117","6623","PHO-SAMS-A36","Samsung A36 5g 256gb","Smartphones nuevos","Samsung","735000","1","instock","1","600000","NO","SI"
"118","6883","PHO-REDMI-NOTE14PR","Redmi Note 14 Pro 5G 256gb","Smartphones nuevos","Xiaomi","640000","0","outofstock","1","640000","NO","SI"
"119","6804","PHO-MOTO-G15-2","Motorola G15 512gb","Smartphones nuevos","Motorola","435000","0","outofstock","1","390000","NO","SI"
"120","6911","PHO-MOTO-G05","Motorola G05 128b","Smartphones nuevos","Motorola","279000","0","outofstock","1","279000","NO","SI"
"121","6882","PHO-APPLE-17P256G-2","iPhone 17 Pro 256gb SELLADO (49145)","Smartphones nuevos","Apple","1350","0","outofstock","1","1350","NO","SI"
"122","6903","PHO-APPLE-17P256G-3","iPhone 17 Pro 256gb SELLADO (65536)","Smartphones nuevos","Apple","1350","0","outofstock","1","1390","NO","SI"
"123","7433","PHO-APPLE-17PM256-18","iPhone 17 Pro 256gb (73307)","Smartphones nuevos","Apple","1320","1","instock","1","1380","NO","SI"
"124","6932","PHO-APPLE-16P256G-3","iPhone 16 Pro 256gb 93% (53699)","Smartphones nuevos","Apple","820","0","outofstock","1","820","NO","SI"
"125","6879","PHO-APPLE-16P256G-2","iPhone 16 Pro 256gb 90% (23830)","Smartphones nuevos","Apple","795","0","outofstock","1","795","NO","SI"
"126","6702","PHO-APPLE-14PM128G","iPhone 14 Pro Max 128gb 89% (58146)","Smartphones nuevos","Apple","680","0","outofstock","1","575","NO","SI"
"127","6822","PHO-APPLE-13P128G","iPhone 13 Pro 128gb 82% (66658)","Smartphones nuevos","Apple","460","0","outofstock","1","460","NO","SI"
"128","6931","PHO-APPLE-15P256G-2","iPhone 13 Pro 128gb 100% (56982)","Smartphones nuevos","Apple","455","1","instock","1","595","NO","SI"
"129","6969","PHO-APPLE-14128G-3","iPhone 14 128gb 89% (74563)","Smartphones nuevos","Apple","420","1","instock","1","0","NO","SI"
"130","6971","PHO-APPLE-12128G-4","iPhone 12 128gb 100% (5039)","Smartphones nuevos","Apple","290","0","outofstock","1","290","NO","SI"
"131","6826","CLI-TCL-AIRE","Aire acondicionado TCL 3400w","Climatización","TCL","840000","0","outofstock","1","665000","SI","SI"
"132","6605","NOT-GATE-NOTEBO16G","Notebook Gateway i5 16gb 512gb","Notebooks","Gateway","890000","0","outofstock","1","525000","NO","SI"
"133","6731","TV-TCL-SMART55P","Smart TV Noblex 55'' X8 UHD","Smart TV","TCL","865000","1","instock","1","0","NO","SI"
"134","6607","TV-BGH-SMART43P","Smart TV 43'' BGH Android Full HD","Smart TV","BGH","495000","0","outofstock","1","100000","NO","SI"
